system:index,NDVI_01_Jan,NDVI_02_Feb,NDVI_03_Mar,NDVI_04_Apr,NDVI_05_May,NDVI_06_Jun,NDVI_07_Jul,NDVI_08_Aug,NDVI_09_Sep,NDVI_10_Oct,NDVI_11_Nov,NDVI_12_Dec,NDVI_Max,NDVI_Mean,NDVI_Min,NDVI_StdDev,class,.geo
74_0,0.738505,0.7880091,0.6509434,0.20476772,0.7233645,0.8443983,0.82016605,0.20665453,0.64047617,0.6301693,0.16080937,0.3225526,0.8443983,0.56090134,0.16080937,0.24925680460082858,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
75_0,0.12552653,0.25383306,0.24508196,0.10935739,0.16261837,0.33514616,0.4084942,0.32764044,0.4921739,0.2805861,0.38274464,0.2949576,0.4921739,0.2848467,0.10935739,0.11030309464358605,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
76_0,0.453922,0.8389451,0.7463084,0.16323619,0.44463086,0.86509275,0.8434238,0.18744053,-0.31318682,-0.15441364,-0.048330843,-0.11330409,0.86509275,0.32614702,-0.31318682,0.4129887745773562,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
77_0,0.17670158,0.7234908,0.7010794,0.5550109,0.29883137,0.7669297,0.8127907,0.22038445,0.20475562,-0.16536704,-0.10556622,-0.2812211,0.8127907,0.32565168,-0.2812211,0.36830734941557275,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
78_0,0.28770113,0.47455415,0.38951224,0.18957871,0.37139258,0.6252101,0.6661857,0.2937725,0.39762703,0.23651452,0.50978476,0.20652173,0.6661857,0.38736293,0.18957871,0.15014904754177658,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
79_0,0.29316548,0.84872925,0.6379676,0.17985612,0.21939586,0.69201905,0.8688283,0.18523581,0.0031308704,-0.20197044,0.0738255,0.0013605442,0.8688283,0.31679532,-0.20197044,0.34202589913013115,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
80_0,0.32386947,0.40565276,0.36157024,0.3174792,0.40817845,0.37872547,0.34390694,0.45354912,0.29718876,0.5600178,0.5020048,0.42293155,0.5600178,0.39792287,0.29718876,0.07511252833129861,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
81_0,0.40243256,0.45171425,0.43729663,0.43637916,0.5016495,0.66121227,0.60939264,0.45858586,0.7258753,0.73006684,0.42105263,0.6428458,0.73006684,0.53987527,0.40243256,0.11937747794072935,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
82_0,0.43930042,0.38564903,0.36393806,0.44333157,0.71623266,0.6570122,0.7275246,0.7457213,0.6316472,0.46586826,0.64990383,0.43032593,0.7457213,0.5547046,0.36393806,0.13902967594227825,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
83_0,0.24895833,0.25396827,0.29233316,0.2791802,0.4967136,0.3595092,0.4401378,0.5457014,0.280908,0.17269461,0.34446564,0.20425029,0.5457014,0.32656837,0.17269461,0.11056958552686964,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
84_0,0.17431192,0.68114877,0.59500444,0.3929078,0.14926134,0.17224199,0.3106893,0.55885196,0.29788783,0.3403218,0.4028753,0.4589061,0.68114877,0.37786737,0.14926134,0.1652268769578569,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
85_0,0.18306878,0.6556495,0.5693566,0.37121633,0.2006003,0.3127585,0.31210807,0.5536062,0.32784638,0.29717878,0.41601562,0.5304348,0.6556495,0.39415333,0.18306878,0.14527418290765798,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
